-0.118842,0.630777,0.283421,-0.135124,0.113889,-0.361723,0.1259,-0.136658,-0.017234,-0.101331,0.11335,-0.109385,0.273808,0.0394518,-0.00624487,-0.176976,0.00177264,-0.0783369,0.280112,-0.065115	-0.00248493,0.564412,0.541272,0.104124,-0.0763409,-0.410224,-0.0132916,-0.415574,-0.187988,-0.00362093,-0.107554,-0.07864,-0.101703,-0.415243,-0.244338,-0.111351,-0.0344271,0.0342844,-0.252354,-0.54428	-0.116391,0.103055,-0.304575,-0.235929,0.188591,0.0569523,0.138959,0.29571,0.171309,-0.0977457,0.218243,-0.0310123,0.365337,0.447366,0.238457,-0.0669447,0.0361975,-0.11232,0.497312,0.496771
-0.321223,-0.210692,-0.337047,0.0127825,0.0899165,0.0621734,0.0146486,-0.165199,-0.0421601,-0.0892995,0.301958,0.336954,-0.591101,0.002035,-0.0465683,0.122338,0.124735,-0.0591478,-0.0352653,-0.306927	-0.174496,-0.326216,-0.427478,0.121066,0.134842,-0.429714,-0.218667,-0.428464,-0.0224433,-0.403716,0.0143954,-0.314164,-0.432552,-0.25276,-0.304298,-0.257953,-0.0805169,-0.271981,-0.582624,-0.520322	-0.15544,0.12405,0.105655,-0.108451,-0.0454769,0.479088,0.23257,0.283319,-0.0197355,0.326175,0.288818,0.588789,-0.213012,0.254664,0.261434,0.368657,0.203211,0.216313,0.55884,0.253952
-0.316379,-0.213016,-0.329609,0.0247139,-0.0257069,0.0276636,0.0218427,-0.263811,-0.0263899,-0.0832643,0.26169,0.277389,-0.609611,-0.082859,-0.101131,0.111155,0.157557,-0.070702,-0.0651204,-0.14258	-0.16816,-0.3297,-0.395343,0.15877,0.0327735,-0.506529,-0.140437,-0.48882,-0.00278514,-0.322369,-0.08112,-0.282033,-0.445402,-0.233836,-0.289328,-0.281766,-0.0785694,-0.256207,-0.540633,-0.483839	-0.156547,0.125498,0.0755835,-0.134584,-0.0584311,0.526811,0.161783,0.258321,-0.0236065,0.245699,0.335684,0.518832,-0.225414,0.15396,0.193869,0.380988,0.233239,0.188927,0.492865,0.366545
-0.203035,0.136624,-0.244953,-0.254592,0.0941729,-0.153476,0.115121,-0.275379,0.115676,0.007721,0.258595,0.216636,-0.583892,-0.00714337,-0.11524,0.0495062,0.177021,-0.00911965,0.00799876,-0.267155	-0.177806,0.0377541,-0.202592,-0.131235,0.112815,-0.54093,-0.0861188,-0.476676,0.164651,-0.313039,-0.0573167,-0.273659,-0.45844,-0.165045,-0.220952,-0.333775,-0.0390521,-0.279152,-0.402755,-0.541657	-0.0261738,0.0993826,-0.0445729,-0.127622,-0.0188421,0.422533,0.199265,0.231713,-0.0499258,0.319987,0.311297,0.462855,-0.171307,0.158088,0.108474,0.377051,0.214589,0.270722,0.409434,0.320945
-0.262853,-0.08521,-0.281509,-0.260017,0.0961071,-0.0501509,-0.0723702,-0.251301,-0.000130603,-0.08662,0.313178,0.215591,-0.572303,0.0185278,-0.115231,0.0795289,0.293304,-0.0991404,-0.00313538,-0.183496	-0.197149,-0.201237,-0.369361,-0.0542707,0.159324,-0.539621,-0.301788,-0.468839,0.0152088,-0.365427,-0.058559,-0.294476,-0.39532,-0.174024,-0.31086,-0.261791,-0.0164988,-0.314965,-0.453344,-0.508299	-0.0692948,0.118051,0.0980462,-0.208691,-0.0642005,0.503085,0.23454,0.246592,-0.0153393,0.28792,0.365042,0.479618,-0.228733,0.191933,0.202897,0.334359,0.308311,0.222781,0.45085,0.358214
-0.0470017,0.694283,0.0953575,-0.347552,0.243728,-0.451826,0.172724,-0.210889,0.0162931,-0.271234,0.527218,0.342218,0.910054,0.33998,0.00355426,0.00884401,0.177864,0.100488,0.398739,-0.141033	0.103955,0.635727,0.309524,-0.125914,0.111783,-0.452797,0.00781581,-0.271894,-0.0164072,-0.105407,0.21192,0.121426,0.827568,-0.246216,-0.0916453,0.0571992,0.199072,0.239136,-0.064302,-0.408045	-0.150223,0.104821,-0.22068,-0.231782,0.13564,0.00122084,0.165131,0.0647158,0.0326916,-0.170708,0.354957,0.230365,0.334128,0.540916,0.0951685,-0.0483797,-0.0219866,-0.142062,0.451466,0.283317
-0.0774218,0.693152,0.0680691,-0.395128,0.147153,-0.453819,0.195668,-0.391262,-0.0269646,-0.234044,0.456529,0.414278,0.917816,0.330051,-0.0385567,-0.036278,0.0113154,0.0492942,0.409955,-0.136927	0.0416695,0.632068,0.371605,-0.122604,0.0903154,-0.525084,0.0295331,-0.398914,-0.0398936,-0.0552304,0.189363,0.287663,0.861447,-0.238287,-0.128032,-0.000740357,0.111456,0.166428,-0.0953424,-0.53315	-0.118708,0.108714,-0.311413,-0.286399,0.0576035,0.0935594,0.167101,0.00906744,0.012943,-0.181155,0.292448,0.143746,0.269254,0.526899,0.0899188,-0.0355386,-0.100267,-0.118102,0.48629,0.427426
0.980796,0.95879,0.700047,0.633203,0.620156,0.790469,0.533667,0.609356,0.465692,0.541445,0.810152,0.831519,0.803133,0.521511,0.61261,0.896283,0.835961,0.850172,0.491048,0.472306	0.982777,0.955274,0.738222,0.655583,0.645776,0.664275,0.642979,0.623362,0.469328,0.657457,0.708289,0.930813,0.822526,0.641543,0.711545,0.878283,0.802562,0.883937,0.633414,0.309362	-0.0548812,0.0418172,-0.0790015,-0.0382645,-0.0427331,0.265721,-0.166416,-0.0225852,-0.00465299,-0.180136,0.239015,-0.439331,-0.0571391,-0.180382,-0.175387,0.0845826,0.101488,-0.135876,-0.206638,0.190827
0.338005,0.230682,0.110083,0.105767,0.339473,0.147934,0.284091,0.290764,0.21512,0.261702,0.621225,0.362247,0.671374,0.332903,0.293653,0.33032,0.477085,0.393045,0.164786,0.355267	0.141067,0.297649,0.280828,0.157993,0.311958,0.173579,0.349658,0.348178,0.244007,0.301693,0.575281,0.527231,0.624492,0.458072,0.549365,0.264713,0.463455,0.325419,0.441321,0.23872	0.206799,-0.0719036,-0.176192,-0.0531142,0.0307746,-0.0263204,-0.0727993,-0.0638814,-0.030487,-0.0434183,0.0714943,-0.203933,0.0807297,-0.147691,-0.304899,0.071893,0.0174987,0.0775448,-0.298223,0.127347
0.648436,0.71556,0.292768,0.309311,0.448646,0.398135,0.302457,0.400848,0.18436,0.435602,0.784645,0.634893,0.745436,0.495659,0.501725,0.627116,0.622833,0.549563,0.327295,0.371665	0.488582,0.736078,0.324329,0.444278,0.466261,0.266621,0.290001,0.420543,0.180147,0.494954,0.660198,0.776086,0.759857,0.581148,0.615103,0.633487,0.530709,0.531314,0.557435,0.208404	0.233984,-0.0433511,-0.034872,-0.156468,-0.0222745,0.147132,0.0136537,-0.0236878,0.00435763,-0.0756661,0.258201,-0.278339,-0.0332605,-0.120078,-0.163986,-0.0105699,0.137611,0.0257747,-0.281498,0.176969
