GL	TACHP	TACLP	125.096	120.96	602.854	659.666	458.838	686.221	177.786	-16.4534	682.204
MADHP	MADLP	OH	470.233	133.925	190.838	-61.7691	134.903	440.559	-121.415	414.698	105.905
MADHP	MADLP	OL	523.162	148.255	185.463	-74.2428	134.903	479.284	-110.222	473.374	105.905
MADHP	MADLP	TACHP	1304.66	125.078	109.825	876.693	134.903	1282.13	892.399	1331.4	105.905
MADHP	MADLP	TACLP	1295.21	127.402	109.565	1062.29	134.903	1270.59	1080.32	1322.4	105.905
MADHP	OH	OL	373.647	335.049	249.868	-74.2428	-61.7691	479.284	12.3812	61.6752	440.559
MADHP	OH	TACHP	1029.98	186.706	166.879	878.526	-61.7691	1282.13	898.191	807.492	440.559
MADHP	OH	TACLP	1019.49	187.99	167.37	1062.29	-61.7691	1270.59	1083.51	797.381	440.559
MADHP	OL	TACHP	1013.8	209.132	177.98	878.743	-74.2428	1282.13	909.951	762.336	479.284
MADHP	OL	TACLP	1005.97	213.063	178.194	1062.29	-74.2428	1270.59	1097.76	755.351	479.284
MADHP	TACHP	TACLP	96.1793	107.95	993.626	1062.29	879.16	1270.59	177.786	-15.9534	1282.13
MADLP	OH	OL	387.326	329.021	206.633	-110.222	-121.415	473.374	12.3812	61.6752	414.698
MADLP	OH	TACHP	1078.8	163.357	158.784	894.24	-121.415	1331.4	898.227	807.492	414.698
MADLP	OH	TACLP	1069.42	163.173	160.389	1080.32	-121.415	1322.4	1083.51	797.381	414.698
MADLP	OL	TACHP	1047.82	190.685	174.787	894.127	-110.222	1331.4	909.528	762.336	473.374
MADLP	OL	TACLP	1041.48	193.536	176.504	1080.32	-110.222	1322.4	1097.76	755.351	473.374
MADLP	TACHP	TACLP	98.2302	107.418	1010.93	1080.32	893.99	1322.4	177.786	-17.1329	1331.4
OH	OL	TACHP	957.065	217.746	206.421	899.524	12.3812	807.492	910.721	762.336	61.6752
OH	OL	TACLP	949.265	220.923	206.675	1083.51	12.3812	797.381	1097.76	755.351	61.6752
OH	TACHP	TACLP	98.4254	109.403	1015.7	1083.51	898.313	797.381	177.786	-16.4951	807.492
OL	TACHP	TACLP	98.2136	106.267	1026.81	1097.76	910.479	755.351	177.786	-16.3701	762.336
